Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
market fleet & binomial route choice&left turn yields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,100,2,15,0,865.034,7856.82,2945.76,27498.9,736.44,34547,795.845,877.849,896.059,860.056,746.333,876.488,1016.82,788.632,0.234393,0.244121,0,0,3.50E-06,7.24E-06,0,0,0,0,1.21566,1.30124,1.24194,1.52997,1.16111,1.34793,4815,27561,186,913,111,598,56,307,309779,4.31E+06,1.08E+06,1.08E+06,8492,795.026,1052.81,1036.98,1082.32,1076.12,1183.76,1271.45,921.459,0.202506,0.238711,0,0,3.75E-06,4.30E-06,0,0,0,0,0.805092,0.909433,0.9106,1.17684,0.758787,0.909547,1149,6838,42,217,25,140,20,61,
2.02E+13,100,2,20,0,763.856,7410.42,2953.69,25936.5,738.424,34704,726.049,772.797,751.237,805.071,598.627,784.555,893.294,726.522,0.224239,0.228267,0,0,3.98E-06,8.25E-06,0,0,0,0,1.16166,1.3363,1.31253,1.58886,1.29946,1.401,6588,25992,232,819,142,564,68,299,1439,359.261,5036.52,89.8153,7659,605.568,837.481,678.207,818.979,573.773,769.966,1094.75,708.266,0.169868,0.203356,0,0,4.55E-06,6.51E-06,0,0,0,0,0.864535,0.9369,1.14373,1.10412,1.03009,0.974366,1413,5772,58,191,22,119,20,64,
2.02E+13,100,2,25,0,806.916,7580.28,2937.38,26531,734.344,34403,769.364,820.805,787.114,770.861,731.487,811.504,856.918,819.161,0.231037,0.235978,0,0,4.18E-06,4.42E-06,0,0,0,0,1.24484,1.35285,1.38023,1.55064,1.29984,1.36867,7988,24302,273,769,191,522,85,273,309497,4.31E+06,1.08E+06,1.08E+06,8152,752.291,878.314,669.815,778.27,709.719,1037.57,812.304,963.662,0.197895,0.208124,0,0,1.27E-05,9.83E-07,0,0,0,0,0.850552,1.0198,0.98869,1.09599,0.717898,0.966482,1857,5827,65,174,32,109,23,65,
2.02E+13,100,2,30,0,852.891,7969.68,3065.34,27893.9,766.335,34690,844.702,852.327,901.064,912.987,885,859.869,855.086,940.86,0.245031,0.244422,0,0,3.52E-06,7.52E-06,0,0,0,0,1.28408,1.44046,1.48324,1.5893,1.22792,1.5363,9734,22848,314,782,213,465,105,229,1670.67,516.858,5847.34,129.214,8433,754.815,863.856,964.695,858.73,960.148,900.571,940.037,895.206,0.193416,0.215186,0,0,1.84E-06,4.08E-06,0,0,0,0,1.08205,1.0387,1.2098,1.26679,1.06646,1.15836,2272,5605,82,211,54,119,27,63,
2.02E+13,100,2,35,0,856.595,8004.28,3089,28015,772.25,34747,835.332,865.044,877.593,886.032,942.368,850.525,955.113,861.039,0.244185,0.246626,0,0,4.35E-06,8.09E-06,0,0,0,0,1.28208,1.39286,1.43232,1.59023,1.24726,1.45352,11403,21165,381,698,277,459,133,231,1819.07,500.759,6366.76,125.19,8654,792.953,904.355,920.721,912,997.624,1012.46,979.944,1059.51,0.21094,0.227083,0,0,2.32E-06,7.27E-06,0,0,0,0,0.91259,1.09094,1.09716,1.37441,0.747771,1.13732,2785,5313,104,172,85,110,36,49,
2.02E+13,100,2,40,0,856.184,8035.9,3029.33,28125.6,757.334,34722,857.939,853.686,911.722,851.096,892.897,847.981,857.842,843.955,0.250617,0.244496,0,0,7.23E-06,9.67E-06,0,0,0,0,1.24331,1.34696,1.41144,1.61817,1.21335,1.41522,13146,19392,410,665,319,431,158,201,309615,4.31E+06,1.08E+06,1.08E+06,8585,773.301,881.083,1004.79,918.617,976.675,989.685,917,745.271,0.201417,0.215937,0,0,5.89E-06,4.44E-06,0,0,0,0,0.910251,1.00378,1.16793,1.17967,0.941699,0.925908,3221,4857,94,154,83,92,36,48,
2.02E+13,100,2,45,0,911.884,8385.78,3044.17,29350.2,761.043,34771,911.584,911.12,964.034,911.236,942.222,875.713,921.977,872.163,0.25909,0.255996,0,0,7.35E-06,6.32E-06,0,0,0,0,1.25781,1.36036,1.43296,1.55164,1.28539,1.53724,14768,17811,534,585,333,366,172,202,1933.37,496.193,6766.79,124.048,9046,816.211,960.536,946.131,991.514,1013.3,963.58,907.333,976.294,0.213386,0.235354,0,0,7.20E-06,4.46E-06,0,0,0,0,0.928858,1.06993,1.1638,1.08629,0.933351,1.26922,3917,4556,153,142,94,88,45,51,
2.02E+13,100,2,50,0,852.947,8094.76,2989.41,28331.7,747.352,34858,866.348,839.213,830.534,798.605,868.755,837.777,1047.16,886.771,0.251661,0.243575,0,0,5.44E-06,5.41E-06,0,0,0,0,1.24443,1.3679,1.34033,1.56777,1.33514,1.56979,16421,16267,552,514,383,359,192,170,1640.48,465.463,5741.69,116.366,8498,736.917,788.855,903.759,816.244,780.991,897.176,1024.91,755.826,0.200469,0.205908,0,0,2.76E-06,7.57E-06,0,0,0,0,0.983148,1.06332,0.87744,1.30039,1.1033,1.01076,4008,3942,116,123,107,91,65,46,
2.02E+13,100,5,0,0,808.031,7549.57,3002.1,26423.5,750.525,34484,0,808.459,0,813.678,0,785.63,0,797.882,0,0.233343,0,0,0,8.13E-06,0,0,0,0,0,1.32213,0,1.553,0,1.37777,0,32354,0,1049,0,718,0,363,309479,4.31E+06,1.08E+06,1.08E+06,8170,0,832.491,0,959.414,0,783.127,0,777.477,0,0.204319,0,0,0,9.02E-06,0,0,0,0,0,0.958259,0,1.09282,0,0.977728,0,7672,0,237,0,173,0,88,
2.02E+13,100,5,5,0,899.552,8048.05,2911,28168.2,727.751,34420,844.65,904.772,802.551,877.489,753.567,850.282,530.091,898.34,0.245463,0.249003,0,0,0,5.06E-06,0,0,0,0,1.30777,1.3395,1.38596,1.52217,0.95421,1.39292,1681,30664,49,1008,30,648,11,329,309918,4.31E+06,1.08E+06,1.08E+06,8639,814.643,1055.48,640.417,967.024,559.167,846.078,205,1014.4,0.209846,0.248229,0,0,0,3.31E-06,0,0,0,0,0.974644,1.10073,1.01492,1.05023,0.42103,1.23965,423,7714,12,252,6,153,1,78,
