Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour
100%ICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,100,2,35,1,726.33,8794.65,0,30781.3,0,34281,736.05,721.138,0,0,0,0,0,0,0.264594,0.252247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11935,22346,0,0,0,0,0,0,1571.85,-108.884,5501.49,-27.2211,7595,670.801,677.353,0,0,0,0,0,0,0.207108,0.201849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606,4989,0,0,0,0,0,0
2.02E+13,100,2,40,1,886.394,9567.8,0,33487.3,0,34505,899.539,877.545,0,0,0,0,0,0,0.28887,0.269491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13882,20623,0,0,0,0,0,0,2402.41,-1.81999,8408.44,-0.454998,8269,1160.57,1341.89,0,0,0,0,0,0,0.276921,0.290481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462,4807,0,0,0,0,0,0
2.02E+13,100,2,45,1,782.387,9110.76,0,31887.6,0,34141,798.036,769.492,0,0,0,0,0,0,0.275382,0.259832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15423,18718,0,0,0,0,0,0,309728,4.31E+06,1.08E+06,1.08E+06,8189,748.247,766.689,0,0,0,0,0,0,0.222418,0.220633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832,4357,0,0,0,0,0,0
2.02E+13,100,2,50,1,859.706,9527.23,0,33345.3,0,34132,879.099,840.201,0,0,0,0,0,0,0.288971,0.26923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17115,17017,0,0,0,0,0,0,312617,4.31E+06,1.09E+06,1.08E+06,8547,855.943,877.34,0,0,0,0,0,0,0.249846,0.240391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,4158,0,0,0,0,0,0
2.02E+13,100,5,35,1,801.914,9085.56,0,31799.5,0,34120,816.998,793.843,0,0,0,0,0,0,0.275625,0.261284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11893,22227,0,0,0,0,0,0,309792,4.31E+06,1.08E+06,1.08E+06,7632,1013.48,985.078,0,0,0,0,0,0,0.25487,0.241425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643,4989,0,0,0,0,0,0
2.02E+13,100,5,40,1,802.983,9199.65,0,32198.8,0,34547,818.725,792.386,0,0,0,0,0,0,0.277231,0.258931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13899,20648,0,0,0,0,0,0,2021.53,-109.803,7075.35,-27.4506,7940,906.528,1048.63,0,0,0,0,0,0,0.242526,0.257958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,4572,0,0,0,0,0,0
2.02E+13,100,5,45,1,770.665,9010.36,0,31536.3,0,34141,799.448,746.948,0,0,0,0,0,0,0.275309,0.254529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15423,18718,0,0,0,0,0,0,309688,4.31E+06,1.08E+06,1.08E+06,8172,731.914,724.631,0,0,0,0,0,0,0.220197,0.214336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3896,4276,0,0,0,0,0,0
2.02E+13,100,5,50,1,830.067,9416.6,0,32958.1,0,34128,855.321,804.673,0,0,0,0,0,0,0.287233,0.264544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17111,17017,0,0,0,0,0,0,1990.77,-109.573,6967.71,-27.3933,8305,806.527,804.089,0,0,0,0,0,0,0.243701,0.229282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4253,4052,0,0,0,0,0,0
2.02E+13,100,10,35,1,712.924,8725.28,0,30538.5,0,34304,727.66,705.039,0,0,0,0,0,0,0.264745,0.24879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11958,22346,0,0,0,0,0,0,1526.5,-109.573,5342.75,-27.3933,7570,671.005,628.866,0,0,0,0,0,0,0.210523,0.192006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579,4991,0,0,0,0,0,0
2.02E+13,100,10,40,1,730.8,8891.28,0,31119.5,0,34522,760.343,710.95,0,0,0,0,0,0,0.271057,0.248481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13874,20648,0,0,0,0,0,0,309575,4.31E+06,1.08E+06,1.08E+06,7932,694.478,665.863,0,0,0,0,0,0,0.217068,0.203954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298,4634,0,0,0,0,0,0
